char	unicode_hex	code_hex	modes	frequency	first_seen_chunk	first_seen_row	source_count	notes
起	U+8D77	0xF183	1x1,1x2	131	chunk_0008	0	129	provisional
量	U+91CF	0xF184	1x1,1x2	90	chunk_0008	0	72	provisional
凭	U+51ED	0xF185	1x1,1x2	2	chunk_0008	0	2	provisional
们	U+4EEC	0xF186	1x1,1x2	257	chunk_0008	0	233	provisional
种	U+79CD	0xF187	1x1,1x2	93	chunk_0008	0	92	provisional
货	U+8D27	0xF188	1x1,1x2	13	chunk_0008	0	12	provisional
阻	U+963B	0xF189	1x1,1x2	5	chunk_0008	0	5	provisional
止	U+6B62	0xF18A	1x1,1x2	18	chunk_0008	0	16	provisional
失	U+5931	0xF18B	1x1,1x2	36	chunk_0008	0	34	provisional
原	U+539F	0xF18C	1x1,1x2	28	chunk_0009	0	25	provisional
岸	U+5CB8	0xF18D	1x1,1x2	2	chunk_0009	0	2	provisional
齐	U+9F50	0xF18E	1x1,1x2	35	chunk_0009	0	35	provisional
史	U+53F2	0xF18F	1x1,1x2	5	chunk_0009	0	5	provisional
集	U+96C6	0xF190	1x1,1x2	99	chunk_0009	0	97	provisional
英	U+82F1	0xF191	1x1,1x2	16	chunk_0009	0	12	provisional
社	U+793E	0xF192	1x1,1x2	6	chunk_0009	0	5	provisional
《	U+300A	0xF193	1x1,1x2	5	chunk_0009	0	5	provisional
周	U+5468	0xF194	1x1,1x2	21	chunk_0009	0	20	provisional
刊	U+520A	0xF195	1x1,1x2	2	chunk_0009	0	2	provisional
年	U+5E74	0xF196	1x1,1x2	15	chunk_0009	0	15	provisional
》	U+300B	0xF197	1x1,1x2	5	chunk_0009	0	5	provisional
连	U+8FDE	0xF198	1x1,1x2	89	chunk_0009	0	63	provisional
载	U+8F7D	0xF199	1x1,1x2	11	chunk_0009	0	9	provisional
演	U+6F14	0xF19A	1x1,1x2	27	chunk_0009	1	25	provisional
员	U+5458	0xF19B	1x1,1x2	56	chunk_0009	1	42	provisional
竹	U+7AF9	0xF19C	1x1,1x2	2	chunk_0009	1	2	provisional
内	U+5185	0xF19D	1x1,1x2	27	chunk_0009	1	24	provisional
子	U+5B50	0xF19E	1x1,1x2	295	chunk_0009	1	255	provisional
樱	U+6A31	0xF19F	1x1,1x2	56	chunk_0009	1	52	provisional
村	U+6751	0xF1A0	1x1,1x2	134	chunk_0009	1	131	provisional
千	U+5343	0xF1A1	1x1,1x2	41	chunk_0009	1	40	provisional
绘	U+7ED8	0xF1A2	1x1,1x2	5	chunk_0009	1	5	provisional
奈	U+5948	0xF1A3	1x1,1x2	21	chunk_0009	2	18	provisional
良	U+826F	0xF1A4	1x1,1x2	7	chunk_0009	2	7	provisional
鹿	U+9E7F	0xF1A5	1x1,1x2	35	chunk_0009	2	31	provisional
丸	U+4E38	0xF1A6	1x1,1x2	143	chunk_0009	2	136	provisional
森	U+68EE	0xF1A7	1x1,1x2	19	chunk_0009	2	19	provisional
久	U+4E45	0xF1A8	1x1,1x2	14	chunk_0009	2	14	provisional
保	U+4FDD	0xF1A9	1x1,1x2	59	chunk_0009	2	54	provisional
祥	U+7965	0xF1AA	1x1,1x2	1	chunk_0009	2	1	provisional
太	U+592A	0xF1AB	1x1,1x2	73	chunk_0009	2	69	provisional
郎	U+90CE	0xF1AC	1x1,1x2	19	chunk_0009	2	17	provisional
秋	U+79CB	0xF1AD	1x1,1x2	10	chunk_0009	2	10	provisional
伊	U+4F0A	0xF1AE	1x1,1x2	27	chunk_0009	2	22	provisional
藤	U+85E4	0xF1AF	1x1,1x2	8	chunk_0009	2	7	provisional
健	U+5065	0xF1B0	1x1,1x2	3	chunk_0009	2	3	provisional
山	U+5C71	0xF1B1	1x1,1x2	45	chunk_0009	2	40	provisional
井	U+4E95	0xF1B2	1x1,1x2	21	chunk_0009	2	20	provisional
野	U+91CE	0xF1B3	1x1,1x2	38	chunk_0009	2	31	provisional
