id	source_file	offset	risk_type	strategy	positions	details
zh_txt_f8a9b7cd_00058A_0020	msg/fld/evt/002.m	0x58A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	44	fw_padding_len=20; source_len=46; evt=True
zh_txt_f8a9b7cd_0005BA_0021	msg/fld/evt/002.m	0x5BA	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	38	fw_padding_len=20; source_len=40; evt=True
zh_txt_f8a9b7cd_0005E4_0022	msg/fld/evt/002.m	0x5E4	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	116	fw_padding_len=44; source_len=118; evt=True
zh_txt_f8a9b7cd_00066E_0023	msg/fld/evt/002.m	0x66E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	22	fw_padding_len=8; source_len=24; evt=True
zh_txt_f8a9b7cd_000688_0024	msg/fld/evt/002.m	0x688	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	56	fw_padding_len=26; source_len=58; evt=True
zh_txt_3240d855_00001A_0000	msg/fld/evt/003.m	0x1A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	80	fw_padding_len=28; source_len=82; evt=True
zh_txt_3240d855_000080_0001	msg/fld/evt/003.m	0x80	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	94	fw_padding_len=44; source_len=96; evt=True
zh_txt_3240d855_0000F6_0002	msg/fld/evt/003.m	0xF6	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	22	fw_padding_len=12; source_len=24; evt=True
zh_txt_3240d855_000118_0003	msg/fld/evt/003.m	0x118	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	32	fw_padding_len=4; source_len=34; evt=True
zh_txt_3240d855_00014E_0004	msg/fld/evt/003.m	0x14E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	72	fw_padding_len=36; source_len=74; evt=True
zh_txt_3240d855_0001A2_0005	msg/fld/evt/003.m	0x1A2	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	130	fw_padding_len=74; source_len=132; evt=True
zh_txt_3240d855_00023A_0006	msg/fld/evt/003.m	0x23A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	18	fw_padding_len=2; source_len=20; evt=True
zh_txt_3240d855_000262_0007	msg/fld/evt/003.m	0x262	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	38	fw_padding_len=12; source_len=40; evt=True
zh_txt_3240d855_000294_0008	msg/fld/evt/003.m	0x294	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	80	fw_padding_len=22; source_len=82; evt=True
zh_txt_3240d855_0002FC_0009	msg/fld/evt/003.m	0x2FC	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	38	fw_padding_len=16; source_len=40; evt=True
zh_txt_3240d855_00033A_0010	msg/fld/evt/003.m	0x33A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	36	fw_padding_len=12; source_len=38; evt=True
zh_txt_3240d855_000374_0011	msg/fld/evt/003.m	0x374	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	46	fw_padding_len=14; source_len=48; evt=True
zh_txt_3240d855_0003B8_0012	msg/fld/evt/003.m	0x3B8	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	74	fw_padding_len=38; source_len=76; evt=True
zh_txt_3240d855_000418_0013	msg/fld/evt/003.m	0x418	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	26	fw_padding_len=10; source_len=28; evt=True
zh_txt_3240d855_000448_0014	msg/fld/evt/003.m	0x448	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	62	fw_padding_len=30; source_len=64; evt=True
zh_txt_3240d855_00048A_0015	msg/fld/evt/003.m	0x48A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	88	fw_padding_len=40; source_len=90; evt=True
zh_txt_3240d855_0004E6_0016	msg/fld/evt/003.m	0x4E6	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	88	fw_padding_len=46; source_len=90; evt=True
zh_txt_3240d855_00054C_0017	msg/fld/evt/003.m	0x54C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	100	fw_padding_len=46; source_len=102; evt=True
zh_txt_3240d855_0005BE_0018	msg/fld/evt/003.m	0x5BE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	50	fw_padding_len=18; source_len=52; evt=True
zh_txt_3240d855_000608_0019	msg/fld/evt/003.m	0x608	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	68	fw_padding_len=34; source_len=70; evt=True
zh_txt_3240d855_000658_0020	msg/fld/evt/003.m	0x658	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	94	fw_padding_len=34; source_len=96; evt=True
zh_txt_3240d855_0006CC_0021	msg/fld/evt/003.m	0x6CC	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	24	fw_padding_len=12; source_len=26; evt=True
zh_txt_3240d855_0006F0_0022	msg/fld/evt/003.m	0x6F0	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	102	fw_padding_len=46; source_len=104; evt=True
zh_txt_3240d855_00076E_0023	msg/fld/evt/003.m	0x76E	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	48	fw_padding_len=26; source_len=50; evt=True
zh_txt_3240d855_0007B4_0024	msg/fld/evt/003.m	0x7B4	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	88	fw_padding_len=44; source_len=90; evt=True
zh_txt_3240d855_000824_0025	msg/fld/evt/003.m	0x824	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	74	fw_padding_len=32; source_len=76; evt=True
zh_txt_3240d855_00087A_0026	msg/fld/evt/003.m	0x87A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	76	fw_padding_len=28; source_len=78; evt=True
zh_txt_3240d855_0008DC_0027	msg/fld/evt/003.m	0x8DC	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	64	fw_padding_len=26; source_len=66; evt=True
zh_txt_3240d855_000928_0028	msg/fld/evt/003.m	0x928	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	84	fw_padding_len=36; source_len=86; evt=True
zh_txt_3240d855_000994_0029	msg/fld/evt/003.m	0x994	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	24	fw_padding_len=8; source_len=26; evt=True
zh_txt_3240d855_0009C2_0030	msg/fld/evt/003.m	0x9C2	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	76	fw_padding_len=36; source_len=78; evt=True
zh_txt_3240d855_000A1A_0031	msg/fld/evt/003.m	0xA1A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	104	fw_padding_len=44; source_len=106; evt=True
zh_txt_3240d855_000A98_0032	msg/fld/evt/003.m	0xA98	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	66	fw_padding_len=30; source_len=68; evt=True
zh_txt_3240d855_000AE8_0033	msg/fld/evt/003.m	0xAE8	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	60	fw_padding_len=16; source_len=62; evt=True
zh_txt_3240d855_000B3A_0034	msg/fld/evt/003.m	0xB3A	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	16	fw_padding_len=8; source_len=18; evt=True
zh_txt_3240d855_000B64_0035	msg/fld/evt/003.m	0xB64	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	70	fw_padding_len=26; source_len=72; evt=True
zh_txt_3240d855_000BAE_0036	msg/fld/evt/003.m	0xBAE	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	72	fw_padding_len=36; source_len=74; evt=True
zh_txt_3240d855_000C0C_0037	msg/fld/evt/003.m	0xC0C	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	18	fw_padding_len=10; source_len=20; evt=True
zh_txt_3240d855_000C34_0038	msg/fld/evt/003.m	0xC34	fullwidth_padding_before_final_0300	fullwidth_space_fill_before_original_terminator	22	fw_padding_len=10; source_len=24; evt=True
